title,genre,description,rating,available on,language, duration
Airlift,"thriller, drama","Kuwait evacuation, Indian citizens, real events",⭐⭐⭐⭐,Amazon Prime Video," ""Hindi""",178 min
Bajrangi Bhaijaan,"drama, family","lost Pakistani girl, Indian kindness",⭐⭐⭐⭐⭐,Disney+ Hotstar," ""Hindi""",164 min
Black,"drama, biography","blind-deaf girl, teacher, inspiration",⭐⭐⭐⭐⭐,Amazon Prime Video," ""Hindi""",186 min
The Great Gatsby,"drama, romance","1920s, obsession, wealth and illusion",⭐⭐⭐⭐,Amazon Prime Video," ""English""",143 min
Spotlight,"biography, journalism","church scandal, investigative reporting",⭐⭐⭐⭐⭐,Netflix," ""English""",129 min
Parasite,"thriller, drama","Korean, class divide, infiltration, social commentary",⭐⭐⭐⭐⭐,Amazon Prime Video," ""Korean""",132 min
Amélie,"romance, comedy","French, whimsical, kindness, Paris life",⭐⭐⭐⭐⭐,Amazon Prime Video," ""French""",122 min
Pan's Labyrinth,"fantasy, war","Spanish, dark fairy tale, fascist Spain",⭐⭐⭐⭐⭐,Amazon Prime Video," ""Spanish""",118 min
Cinema Paradiso,"drama, nostalgia","Italian, childhood, love for cinema",⭐⭐⭐⭐⭐,Amazon Prime Video," ""Italian""",155 min
Rashomon,"drama, mystery","Japanese, conflicting testimonies, truth vs perception",⭐⭐⭐⭐⭐,MUBI," ""Japanese""",88 min
Capernaum,"drama, social realism","Arabic, child refugee, survival, Beirut",⭐⭐⭐⭐⭐,Amazon Prime Video," ""English",126 min
The Lives of Others,"thriller, drama","German, East Berlin surveillance, humanity",⭐⭐⭐⭐⭐,Amazon Prime Video," ""German""",137 min
Burning,"drama, psychological","Korean, obsession, ambiguity, vanishing",⭐⭐⭐⭐,Netflix," ""Korean""",135 min
A Separation,"drama, family","Iranian, divorce, aging parent, moral dilemmas",⭐⭐⭐⭐⭐,Amazon Prime Video," ""Persian""",123 min
Train to Busan,"action, horror","Korean, zombie apocalypse, father-daughter bond",⭐⭐⭐⭐,Netflix," ""Korean""",118 min
The Handmaiden,"thriller, romance","Korean, psychological seduction, twist",⭐⭐⭐⭐⭐,Amazon Prime Video," ""Korean""",145 min
La Haine,"drama, crime","French, youth, police tension, urban chaos",⭐⭐⭐⭐⭐,MUBI," ""French""",98 min
Hero,"action, historical","Chinese, martial arts, assassination, emperor",⭐⭐⭐⭐,Amazon Prime Video," ""Mandarin""",99 min
Run Lola Run,"thriller, experimental","German, multiple timelines, urgency",⭐⭐⭐⭐,Amazon Prime Video," ""German""",81 min
Oldboy,"thriller, revenge","Korean, imprisonment, shocking twist",⭐⭐⭐⭐⭐,Netflix," ""Korean""",120 min
The Intouchables,"comedy, drama","French, unlikely friendship, disability",⭐⭐⭐⭐⭐,Netflix," ""French""",112 min
Roma,"drama, biography","Spanish/Mexican, maid’s life, 1970s Mexico City",⭐⭐⭐⭐⭐,Netflix," ""Spanish",135 min
Bicycle Thieves,"drama, neorealism","Italian, father-son, poverty, survival",⭐⭐⭐⭐⭐,MUBI," ""Italian""",89 min
Minari,"drama, family","Korean-American, immigrant dreams, farming struggles",⭐⭐⭐⭐⭐,Amazon Prime Video," ""Korean""",115 min
Poetry,"drama, slow-burn","Korean, elderly woman, poetry, crime",⭐⭐⭐⭐,MUBI," ""Korean""",129 min
Portrait of a Lady on Fire,"romance, historical","French, forbidden love, painting",⭐⭐⭐⭐⭐,Amazon Prime Video," ""French""",122 min
Asuran,"action, drama","Tamil, caste violence, family revenge",⭐⭐⭐⭐,Amazon Prime Video," ""Tamil""",169 min
Jallikattu,"action, experimental","Malayalam, wild buffalo chaos, human instinct",⭐⭐⭐⭐,Amazon Prime Video," ""Malayalam""",135 min
Charulata,"drama, classic","Bengali, loneliness, intellectual longing, Tagore",⭐⭐⭐⭐⭐,Hoichoi," ""Bengali""",119 min
Incendies,"drama, mystery","French-Arabic, civil war, family secrets, emotional puzzle",⭐⭐⭐⭐⭐,Amazon Prime Video," ""French""",131 min
Shoplifters,"drama, family","Japanese, chosen family, poverty, bonding",⭐⭐⭐⭐⭐,Netflix," ""Japanese""",121 min
Memories of Murder,"thriller, crime","Korean, serial killer case, investigation, futility",⭐⭐⭐⭐⭐,Amazon Prime Video," ""Korean""",131 min
The Hunt,"drama, psychological","Danish, false accusation, social collapse",⭐⭐⭐⭐⭐,Amazon Prime Video," ""Danish""",115 min
Life Is Beautiful,"drama, comedy","Italian, Holocaust, father’s love, survival",⭐⭐⭐⭐⭐,Amazon Prime Video," ""Italian""",116 min
I’m No Longer Here,"drama, music","Spanish-Mexican, youth, subculture, migration",⭐⭐⭐⭐,Netflix," ""Spanish""",108 min
The Invisible Guest,"thriller, mystery","Spanish, locked-room murder, lawyer, twist ending",⭐⭐⭐⭐,Netflix," ""Spanish""",106 min
The Wailing,"horror, supernatural","Korean, possession, folklore, paranoia",⭐⭐⭐⭐,Amazon Prime Video," ""Korean""",156 min
The Chaser,"thriller, crime","Korean, ex-cop vs killer, gripping cat-and-mouse",⭐⭐⭐⭐⭐,Amazon Prime Video," ""Korean""",123 min
Perfect Blue,"thriller, psychological","Japanese, pop idol, reality distortion",⭐⭐⭐⭐⭐,Amazon Prime Video," ""Japanese""",82 min
Tokyo Story,"drama, family","Japanese, generational gap, aging parents",⭐⭐⭐⭐⭐,MUBI," ""Japanese""",136 min
All About My Mother,"drama, LGBTQ+","Spanish, motherhood, identity, loss",⭐⭐⭐⭐⭐,Amazon Prime Video," ""Japanese""",101 min
Nobody Knows,"drama, survival","Japanese, abandoned siblings, urban neglect",⭐⭐⭐⭐⭐,MUBI," ""Japanese""",141 min
Leviathan,"drama, political","Russian, corruption, church, existential pain",⭐⭐⭐⭐,Amazon Prime Video," ""Russian""",142 min
The Celebration (Festen),"drama, family","Danish, dark secrets, party gone wrong",⭐⭐⭐⭐⭐,MUBI," ""Danish""",115 min
Son of Saul,"war, horror","Hungarian, Auschwitz, moral dilemma, single-take intensity",⭐⭐⭐⭐⭐,Amazon Prime Video," ""Hungarian with some Yiddish",107 min
Wadjda,"drama, feminism","Arabic (Saudi), girl's dream to own a bicycle",⭐⭐⭐⭐,Netflix," ""Arabic""",97 min
Toni Erdmann,"comedy, drama","German, awkward father-daughter, absurd bonding",⭐⭐⭐⭐,Amazon Prime Video," ""German""",162 min
Still Walking,"drama, family","Japanese, grief, annual rituals, subtle emotions",⭐⭐⭐⭐,MUBI," ""Japanese""",114 min
Cold War,"romance, drama","Polish, musicians, passion across decades and borders",⭐⭐⭐⭐,Amazon Prime Video," ""Polish""",88 min
Wild Tales,"dark comedy, anthology","Spanish-Argentinian, revenge, chaos, social rage",⭐⭐⭐⭐,Amazon Prime Video," ""Spanish""",122 min
Pather Panchali,"drama, classic","Bengali, rural India, child’s eye, Satyajit Ray",⭐⭐⭐⭐⭐,Amazon Prime Video," ""Bengali""",314 min
I Want to Eat Your Pancreas,"anime, love, romance, sad","terminal illness, unlikely friendship, emotional goodbye",⭐⭐⭐⭐⭐,Netflix," ""Japanese""",111 min
Silenced,"drama, true story, tragic","abuse case in Korean school, injustice, hard-hitting",⭐⭐⭐⭐⭐,Netflix," ""Korean""",133 min
Ayka,"drama, immigrant, cry","single immigrant mother abandons newborn, painful realism",⭐⭐⭐⭐,MUBI," ""Turkish""",96 min
A Sun,"drama, family, grief","Taiwanese family deals with loss, shame, and regret",⭐⭐⭐⭐⭐,Netflix," ""Mandarin""",120 min
A Letter to Momo,"anime, grief, emotional",Japanese girl connects with spirits after father’s death,⭐⭐⭐⭐,Netflix," ""Japanese""",103 min
Beautiful Boy,"drama, addiction, sad",father tries to help son through drug relapse cycles,⭐⭐⭐⭐,Amazon Prime Video," ""English""",120 min
Don't Leave,"romance, Turkish, emotional","young man mysteriously breaks up with girlfriend, tragic reveal",⭐⭐⭐⭐,Netflix," ""Turkish""",67 min
Blue,"drama, French, sad","woman loses family, goes numb, rebuilds life through music",⭐⭐⭐⭐⭐,MUBI," ""French""",79 min
Radiator,"drama, family, grief","son returns to care for mentally ill parents, slow emotional burn",⭐⭐⭐,Amazon Prime Video," ""English""",96 min
Shiniuma no Oshiego,"Japanese, coming-of-age, sad",orphan boy finds his way through street boxing and struggle,⭐⭐⭐,Japan Foundation Online," ""Japanese""",30 min
Tangshan Earthquake,"disaster, family, tragedy","mother forced to choose one child after earthquake, long-term guilt",⭐⭐⭐⭐,YouTube," ""Mandarin""",95 min
Whale Rider,"drama, Maori, emotional","young girl fights tradition to become tribal leader, powerful and sad",⭐⭐⭐⭐,Amazon Prime Video," ""Maori""",101 min
Song of the Sea,"anime, fantasy, emotional",Irish siblings grieve their mother through magical folklore,⭐⭐⭐⭐,Netflix," ""Japanese""",94 min
A White White Day,"drama, Icelandic, slow-burn","man grieves wife, suspects she cheated, icy melancholy",⭐⭐⭐⭐,MUBI," ""Icelandic""",128 min
Yeh Ballet,"Indian, drama, dreams, sad","slum boys find ballet, face family rejection and systemic hardship",⭐⭐⭐⭐,Netflix," ""Hindi""",98 min
Goodbye,"drama, Indian, grief","family deals with the loss of their mother, emotional clashes",⭐⭐⭐,Netflix," ""Hindi""",130 min
Sonita,"documentary, feminist, cry","Afghan girl uses rap to escape forced marriage, tearjerker",⭐⭐⭐⭐,YouTube," ""Persian""",88 min
True Mothers,"drama, adoption, secrets",Japanese couple’s adopted child’s biological mother resurfaces,⭐⭐⭐⭐,Netflix," ""Japanese""",129 min
True North,"anime, political, tragic","Korean animation set in a North Korean prison camp, gut-wrenching",⭐⭐⭐⭐,Netflix," ""Japanese""",135 min
Little Miss Period,"drama, Japanese, sad-comedy","girl's emotional struggle embodied as a character, unique and touching",⭐⭐⭐,Netflix," ""Japanese""",15 min per episode
Death Note,"anime, thriller, supernatural","brilliant student gets a deadly notebook through which he can kill people, cat-and-mouse with detective",⭐⭐⭐⭐⭐,"Netflix, Crunchyroll"," ""Japanese""",100 min per episode
Attack on Titan,"anime, action, dark fantasy",humanity fights Titans behind massive walls,⭐⭐⭐⭐⭐,"Netflix, Crunchyroll"," ""Japanese""",24 min per episode
Your Name,"anime, romance, fantasy","body-swapping teens, fate, breathtaking visuals",⭐⭐⭐⭐⭐,Netflix," ""Japanese""",106 min
One Punch Man,"anime, comedy, action","hero bored of winning with one punch, satire of shounen",⭐⭐⭐⭐,"Netflix, Crunchyroll"," ""Japanese""",24 min per episode
Spirited Away,"anime, fantasy, coming-of-age","girl trapped in spirit world, Japanese, spirit world, lost identity",⭐⭐⭐⭐⭐,Netflix," ""Japanese""",125 min
Vinland Saga,"anime, historical, action",Viking revenge saga with emotional depth,⭐⭐⭐⭐⭐,Amazon Prime Video," ""Japanese""",24 min per episode
Jujutsu Kaisen,"anime, action, supernatural","cursed spirits, sorcerers, intense battles",⭐⭐⭐⭐,"Crunchyroll, Netflix"," ""Japanese""",24 min per episode
Steins;Gate,"anime, sci-fi, thriller","time travel, brainy experiments, butterfly effects",⭐⭐⭐⭐⭐,Crunchyroll," ""Japanese""",24 min per episode
Erased,"anime, mystery, drama",man travels back to prevent a childhood tragedy,⭐⭐⭐⭐⭐,Netflix," ""Japanese""",24 min per episode
Mob Psycho 100,"anime, supernatural, action","overpowered psychic with emotions, quirky and fun",⭐⭐⭐⭐⭐,Crunchyroll," ""Japanese""",24 min per episode
Naruto,"anime, action, adventure","ninja boy aims to be village leader, emotional arcs",⭐⭐⭐⭐,Netflix," ""Japanese""",24 min per episode
Fullmetal Alchemist: Brotherhood,"anime, fantasy, drama","brothers use alchemy to restore their bodies, deep themes",⭐⭐⭐⭐⭐,"Netflix, Crunchyroll"," ""Japanese""",24 min per episode
Tokyo Ghoul,"anime, horror, psychological","student turns half-ghoul, struggles with identity",⭐⭐⭐⭐,Netflix," ""Japanese""",24 min per episode
Parasyte: The Maxim,"anime, sci-fi, body horror","alien parasite coexists in human hand, fights for survival",⭐⭐⭐⭐,Netflix," ""Japanese""",24 min per episode
Toradora!,"anime, romantic comedy, slice of life","tsundere girl + misunderstood boy, sweet development",⭐⭐⭐⭐⭐,Crunchyroll," ""Japanese""",24 min per episode
Demon Slayer,"anime, action, supernatural","siblings fight demons, stunning visuals",⭐⭐⭐⭐,"Netflix, Crunchyroll"," ""Japanese""",24 min per episode
Code Geass,"anime, mecha, strategy","exiled prince gets power to command, rebellion ensues",⭐⭐⭐⭐⭐,Netflix," ""Japanese""",24 min per episode
Made in Abyss,"anime, adventure, dark fantasy","girl descends into mysterious pit, emotional and brutal",⭐⭐⭐⭐,Amazon Prime Video," ""Japanese""",24 min per episode
Clannad: After Story,"anime, drama, romance",slice of life turns deeply emotional and philosophical,⭐⭐⭐⭐⭐,Crunchyroll," ""Japanese""",24 min per episode
Black Clover,"anime, action, magic","orphan dreams of becoming wizard king, despite no powers",⭐⭐⭐,"Crunchyroll, Netflix"," ""Japanese""",24 min per episode
Akame ga Kill!,"anime, action, tragedy","young warrior joins assassins to fight corruption, brutal deaths",⭐⭐⭐,Netflix," ""Japanese""",24 min per episode
Noragami,"anime, supernatural, comedy","minor god does odd jobs for 5 yen, gods vs phantoms",⭐⭐⭐⭐,Netflix," ""Japanese""",24 min per episode
Zankyou no Terror,"anime, thriller, mystery",two teen terrorists shake Tokyo to reveal a hidden truth,⭐⭐⭐⭐,Crunchyroll," ""Japanese""",24 min per episode
Samurai Champloo,"anime, historical, hip-hop","samurais in Edo era with anachronistic style, cool journey",⭐⭐⭐⭐⭐,Netflix," ""Japanese""",24 min per episode
86,"anime, war, sci-fi","mecha warfare, discrimination, intense emotional fallout",⭐⭐⭐⭐,Crunchyroll," ""Japanese""",24 min per episode
Beastars,"anime, psychological, furry noir",predator-prey tension in anthropomorphic society,⭐⭐⭐⭐,Netflix," ""Japanese""",24 min per episode
Horimiya,"anime, romance, slice of life","popular girl and quiet guy connect over secrets, wholesome",⭐⭐⭐⭐,Netflix," ""Japanese""",24 min per episode
Devilman Crybaby,"anime, horror, tragedy","demons invade society, emotional destruction follows",⭐⭐⭐⭐,Netflix," ""Japanese""",24 min per episode
Bungou Stray Dogs,"anime, supernatural, mystery",detectives with powers based on literary figures,⭐⭐⭐⭐,Crunchyroll," ""Japanese""",24 min per episode
The Promised Neverland (Season 1),"anime, thriller, escape",kids plan escape from a dark orphanage secret,⭐⭐⭐⭐⭐,Netflix," ""Japanese""",24 min per episode
Dr. Stone,"anime, sci-fi, survival",teen scientist rebuilds civilization after apocalypse,⭐⭐⭐⭐,Crunchyroll," ""Japanese""",24 min per episode
Re:Zero,"anime, fantasy, time loop","boy relives death over and over, high stakes, heartbreak",⭐⭐⭐⭐,Netflix," ""Japanese""",24 min per episode
Barakamon,"anime, slice of life, comedy",calligrapher finds meaning in rural island life,⭐⭐⭐⭐⭐,Crunchyroll," ""Japanese""",24 min per episode
Hyouka,"anime, mystery, slice of life","quiet student uncovers school mysteries, slow charm",⭐⭐⭐⭐,Crunchyroll," ""Japanese""",26 min per episode
Nana,"anime, romance, music","two girls named Nana navigate love, pain, and dreams",⭐⭐⭐⭐⭐,Netflix," ""Japanese""",24 min per episode
Welcome to the NHK,"anime, psychological, dark comedy",hikikomori suspects a conspiracy ruining his life,⭐⭐⭐⭐,Crunchyroll," ""Japanese""",24 min per episode
Bakuman,"anime, drama, career",high school duo pursue dream of becoming top manga artists,⭐⭐⭐⭐,Netflix," ""Japanese""",24 min per episode  
Orange,"anime, romance, time travel",letter from future warns girl to save her classmate from tragedy,⭐⭐⭐⭐,Netflix," ""Japanese""",24 min per episode  
To Your Eternity,"anime, fantasy, existential",immortal entity learns life through pain and companionship,⭐⭐⭐⭐⭐,Crunchyroll," ""Japanese""",24 min per episode  
Beasts of No Nation,"war, drama",African child soldier’s descent into violence and loss,⭐⭐⭐⭐⭐,Netflix," ""English""",138 min
The Light Between Oceans,"romance, drama","couple finds baby at sea, guilt and grief follow",⭐⭐⭐⭐,Amazon Prime Video," ""English""",133 min
Tuesdays with Morrie,"drama, biography","student reconnects with dying professor, heartwarming and sad",⭐⭐⭐⭐,YouTube," ""English""",89 minutes
The Nightingale,"drama, revenge",Tasmanian woman seeks justice after horrific loss,⭐⭐⭐⭐,Amazon Prime Video," ""English""",118 min
Nowhere in Africa,"drama, war","German family flees to Kenya during WWII, bittersweet journey",⭐⭐⭐⭐⭐,MUBI," ""German""",124 min
Instructions Not Included,"drama, comedy","Mexican single father raises daughter, shocking twist ending",⭐⭐⭐⭐,Amazon Prime Video," ""Spanish""",122 min
Mug,"drama, Polish","man receives face transplant after accident, struggles with identity",⭐⭐⭐,Netflix," ""Polish""",91 minutes
The Sea Inside,"biography, Spanish","paralyzed man fights for right to die, deeply moving",⭐⭐⭐⭐⭐,Amazon Prime Video," ""Spanish""",116 min
The Sweet Hereafter,"drama, tragedy",town deals with the aftermath of a school bus accident,⭐⭐⭐⭐,YouTube," ""English""",110 min
Departures,"drama, Japanese","cellist becomes mortician, explores life, death, and dignity",⭐⭐⭐⭐⭐,Netflix," ""Japanese""",130 min
The Flowers of War,"war, drama",Chinese girls take refuge with courtesans during Nanjing Massacre,⭐⭐⭐⭐,Amazon Prime Video,"""Mandarin""",146 min
The Third Wife,"drama, Vietnamese","14-year-old girl becomes third wife, silent rebellion builds",⭐⭐⭐⭐,MUBI," ""Vietnamese""",98 min
Sun Children,"drama, Iranian","kids in Tehran juggle school and hard labor, heartbreaking realism",⭐⭐⭐⭐,Netflix," ""Persian""",99 min
Jiro Dreams of Sushi,"documentary, Japanese","master sushi chef, discipline and sacrifice, quiet melancholy",⭐⭐⭐⭐,Netflix," ""Japanese""",81 min
All Is Lost,"drama, survival","man lost at sea fights nature alone, wordless yet powerful",⭐⭐⭐⭐,Amazon Prime Video," ""English""",106 min
The Road,"drama, post-apocalyptic","father and son journey through dying world, bleak and loving",⭐⭐⭐⭐⭐,Amazon Prime Video," ""English""",111 min
A Moment to Remember,"romance, Korean","young wife develops Alzheimer’s, heartbreaking love story",⭐⭐⭐⭐⭐,Netflix," ""Korean""",125 min (approx)
The Broken Circle Breakdown,"romance, drama",Belgian couple’s love crumbles after child’s death,⭐⭐⭐⭐,Amazon Prime Video," ""Dutch""",108 min
Bal (Honey),"drama, Turkish",introverted boy’s forest life shaken by father’s disappearance,⭐⭐⭐⭐,MUBI," ""Turkish""",100 min
Las Acacias,"drama, Argentine","quiet truck journey with a woman and baby, subtle emotional weight",⭐⭐⭐⭐,MUBI," ""Spanish""",80 min (approx)
Tamasha,"drama, romance, self-discovery","guy loses himself in societal expectations, rediscovers identity",⭐⭐⭐⭐⭐,Netflix," ""Hindi""",147 min (approx)
Wake Up Sid,"drama, coming-of-age","spoiled rich kid finds purpose through independence and love, based in Mumbai",⭐⭐⭐⭐,Netflix," ""Hindi""",167 min (approx)
Rockstar,"romance, music, angst","Delhi boy becomes rockstar, love and heartbreak shape him",⭐⭐⭐⭐,Netflix," ""Hindi""",152 min (approx)
Dil Chahta Hai,"drama, friendship, travel","three friends navigate love and adulthood, iconic Goa trip",⭐⭐⭐⭐⭐,Amazon Prime Video," ""Hindi""",192 min (approx)
Dear Zindagi,"drama, mental health, youth","cinematographer heals with help of therapist, emotional reset",⭐⭐⭐⭐,Netflix," ""Hindi""",150 min (approx)
Queen,"drama, comedy, solo travel","ditched bride travels solo in Europe, rediscovers herself",⭐⭐⭐⭐⭐,Netflix," ""Hindi""",144 min (approx)
Baar Baar Dekho,"romance, time travel",man sees his life unfold and learns to cherish love,⭐⭐⭐,Amazon Prime Video," ""Hindi""",143 min (approx)
Kuch Kuch Hota Hai,"romance, college, friendship","childhood friends, love triangle, classic college vibes",⭐⭐⭐⭐,Netflix," ""Hindi""",180 min (approx)
Kapoor & Sons,"drama, family, emotions","family reunion brings secrets, bonding, and catharsis",⭐⭐⭐⭐,Amazon Prime Video," ""Hindi""",129 min
Jab We Met,"romantic comedy, journey",free-spirited girl changes reserved man’s life during train trip,⭐⭐⭐⭐⭐,Netflix," ""Hindi""",145 min
Karwaan,"drama, road trip, bonding",misfit trio drives across South India with a corpse in tow,⭐⭐⭐⭐,Amazon Prime Video," ""Hindi""",133 min
The Sky Is Pink,"biography, family, emotional",family’s journey through love and loss of a daughter,⭐⭐⭐⭐,Netflix," ""Hindi""",134 min
Highway,"drama, romance, freedom","girl kidnapped, ends up discovering herself on the road",⭐⭐⭐⭐,Netflix," ""Hindi""",153 min
Student of the Year,"romance, college, competition",love triangle and friendship tested in glamorous college,⭐⭐⭐,Netflix," ""Hindi""",145 min
Udaan,"drama, youth, coming-of-age",boy rebels against abusive father to chase dreams,⭐⭐⭐⭐⭐,Netflix," ""Hindi""",123 min 
Jee Le Zaraa (upcoming),"drama, female road trip",Farhan Akhtar’s next — spiritual successor to ZNMD,⭐⭐⭐⭐⭐,To be declared," ""Hindi""",To be declared
Midnight Runners,"Korean, action, comedy","two goofy police cadets team up to solve a case, bromance energy",⭐⭐⭐⭐,Amazon Prime Video," ""Korean""",109 min
Our Times,"Taiwanese, romance, nostalgia",shy schoolgirl’s crush leads to unexpected friendship and growth,⭐⭐⭐⭐,Netflix," ""Mandarin-Taiwanese""",110 min
Anbe Sivam,"Tamil, drama, road movie",two strangers journey across India and challenge each other's worldview,⭐⭐⭐⭐⭐,Amazon Prime Video," ""Tamil""",133 min
Little Forest,"Korean, slice of life, food",girl leaves city stress behind to cook and heal in countryside,⭐⭐⭐⭐,Netflix," ""Korean""",115 min
Seven Years in Tibet,"English, biopic, adventure",Austrian man finds peace and purpose while in Tibet,⭐⭐⭐⭐,Amazon Prime Video," ""English, Tibetan""",136 min
Happy Together,"Hong Kong, romance, travel",tumultuous couple travels to Argentina and finds personal clarity,⭐⭐⭐⭐,MUBI," ""Cantonese",93 min
Ilo Ilo,"Chinese-Singaporean, drama",maid-child bond in 1997 recession sparks emotional growth,⭐⭐⭐⭐,MUBI," ""Mandarin""",107 min
One Week,"English (Canada), road movie, cancer",man with terminal illness motorcycles across Canada to find meaning,⭐⭐⭐⭐,YouTube," ""English""",94 min
Call Me by Your Name,"Italian-English, romance, summer love",teen boy's romantic awakening in dreamy 1980s Italy,⭐⭐⭐⭐⭐,Amazon Prime Video," ""English",132 min
Your Name Engraved Herein,"Taiwanese, LGBTQ+, youth",schoolboys fall in love in post-martial law Taiwan,⭐⭐⭐⭐,Netflix," ""Mandarin""",99 min
Into the Wild,"English, adventure, philosophy","man leaves society behind to live in wilderness, soul-searching",⭐⭐⭐⭐⭐,Amazon Prime Video," ""English""",148 min
20th Century Girl,"Korean, teen, friendship","heartfelt tale of youth, love, and best friends in the late '90s",⭐⭐⭐⭐,Netflix," ""Korean""",119 min
